Data;open_x;high_x;low_x;close_x;volume_x;open_y;high_y;low_y;close_y;volume_y;;;;;
23/02/2021 12:40;5464.74;5466.25;5458.70;5465.75;2871900885.00;114997.29;115067.64;114806.35;114846.55;3669818607.01;;;;;
23/02/2021 12:45;5465.25;5466.25;5458.20;5466.25;1939833560.00;114846.55;115047.54;114816.40;114947.05;3931295345.94;;;;;
23/02/2021 12:50;5466.25;5470.28;5461.72;5467.77;1881909810.00;114947.05;115027.44;114821.43;115017.39;3178420891.82;;;;;
23/02/2021 12:55;5467.26;5469.28;5458.70;5461.22;1689629800.00;115017.39;115107.84;114826.45;114942.02;3923114957.70;;;;;
23/02/2021 13:00;5460.71;5465.25;5449.13;5451.14;3675285555.00;114937.00;115379.18;114906.85;115374.15;5635976116.94;;;;;
23/02/2021 13:05;5451.14;5460.71;5450.64;5459.20;1921722520.00;115369.13;115389.23;114987.24;115042.52;4188539364.45;;;;;
23/02/2021 13:10;5458.70;5464.24;5456.68;5463.74;1788307995.00;115042.52;115072.67;114796.30;114896.80;3978513609.42;;;;;
23/02/2021 13:15;5463.74;5468.27;5462.22;5467.77;1755488435.00;114891.77;115017.39;114816.40;114972.17;3846500395.58;;;;;
23/02/2021 13:20;5467.77;5469.28;5462.22;5464.24;1341118520.00;114977.20;115338.98;114967.15;115213.36;4755359221.82;;;;;
23/02/2021 13:25;5464.24;5466.25;5459.71;5460.71;1225610985.00;115213.36;115504.80;115117.89;115499.77;5181318673.01;;;;;
23/02/2021 13:30;5461.22;5464.74;5457.19;5459.20;1265141065.00;115494.75;115570.12;115258.58;115550.02;4745918574.62;;;;;
23/02/2021 13:35;5459.71;5467.77;5458.70;5467.26;1145239095.00;115545.00;115600.27;115389.23;115509.82;4390066926.44;;;;;
23/02/2021 13:40;5466.76;5471.80;5464.74;5466.25;1922287965.00;115509.82;115650.52;115248.53;115344.00;5120884526.10;;;;;
23/02/2021 13:45;5466.25;5469.78;5464.74;5469.78;977341495.00;115349.03;115464.60;115178.19;115238.48;3569756351.34;;;;;
23/02/2021 13:50;5469.78;5474.82;5465.75;5466.25;1676637655.00;115238.48;115409.33;115183.21;115364.10;3230216763.42;;;;;
23/02/2021 13:55;5466.76;5471.29;5466.25;5469.28;843420690.00;115364.10;115389.23;115168.14;115198.29;2913974936.79;;;;;
23/02/2021 14:00;5469.78;5473.81;5468.77;5471.80;1396835635.00;115198.29;115213.36;115052.57;115117.89;3505393591.42;;;;;
23/02/2021 14:05;5472.30;5479.85;5471.80;5476.33;1961561085.00;115117.89;115148.04;114906.85;114977.20;3643339262.52;;;;;
23/02/2021 14:10;5476.83;5478.34;5474.82;5475.83;1043803180.00;114977.20;115067.64;114851.58;114921.92;2976286957.69;;;;;
23/02/2021 14:15;5475.83;5479.35;5473.31;5477.34;1210161805.00;114916.90;115183.21;114836.50;115168.14;4169476996.24;;;;;
23/02/2021 14:20;5477.84;5482.37;5477.34;5481.37;1029732745.00;115168.14;115238.48;114972.17;115112.86;3723372126.62;;;;;
23/02/2021 14:25;5480.86;5484.89;5480.86;5481.87;1387415105.00;115117.89;115308.83;115077.69;115248.53;4037224159.24;;;;;
23/02/2021 14:30;5482.37;5482.88;5473.81;5475.32;1773515410.00;115253.56;115263.61;115107.84;115228.43;2508969717.81;;;;;
23/02/2021 14:35;5475.83;5479.85;5474.31;5478.85;1242005235.00;115228.43;115238.48;114921.92;114931.97;3556763596.17;;;;;
